epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,181.791,0.67847,0.51668,1.17688,0.71565,0.93333,0.88701,0.65578,1.03729,0.88902,1.56836,0.0008912,0.0008912,0.0008912
58,184.971,0.65597,0.52498,1.17869,0.94975,0.84009,0.93809,0.68931,0.97068,0.73325,1.54743,0.0008714,0.0008714,0.0008714
59,188.112,0.67278,0.49726,1.18152,0.86861,0.82222,0.8853,0.59282,1.11897,0.89981,1.69672,0.0008516,0.0008516,0.0008516
60,191.286,0.6639,0.53728,1.18139,0.87246,0.84444,0.86482,0.57117,1.23071,0.93378,1.89203,0.0008318,0.0008318,0.0008318
61,194.454,0.63898,0.52222,1.14843,0.86528,0.85649,0.85098,0.59523,1.16273,0.92992,1.80887,0.000812,0.000812,0.000812
62,197.594,0.6266,0.52526,1.15546,0.90588,0.91111,0.92541,0.61507,1.16945,0.83836,1.7488,0.0007922,0.0007922,0.0007922
63,200.754,0.63558,0.50168,1.13077,0.89044,0.84444,0.92616,0.64187,1.08021,0.89506,1.64824,0.0007724,0.0007724,0.0007724
64,203.892,0.64009,0.51298,1.14787,0.86029,0.84444,0.90954,0.60955,1.27383,1.02402,1.88194,0.0007526,0.0007526,0.0007526
65,207.076,0.62471,0.49363,1.16691,0.88741,0.88889,0.91817,0.58354,1.29533,0.98023,1.84239,0.0007328,0.0007328,0.0007328
66,210.242,0.67426,0.50719,1.16963,0.91782,0.86667,0.93734,0.65322,0.98882,0.92957,1.58385,0.000713,0.000713,0.000713
67,213.452,0.65682,0.50571,1.18169,0.8644,0.99174,0.96929,0.7034,0.95819,0.76054,1.5571,0.0006932,0.0006932,0.0006932
68,216.595,0.60191,0.47659,1.13883,0.8936,0.93333,0.96404,0.6754,1.04681,0.77722,1.62206,0.0006734,0.0006734,0.0006734
69,219.783,0.58789,0.45207,1.09586,0.95361,0.88889,0.95089,0.62809,1.13135,0.76718,1.68604,0.0006536,0.0006536,0.0006536
70,222.938,0.5821,0.44691,1.12202,0.86401,0.93333,0.93582,0.62646,1.09245,0.79694,1.64569,0.0006338,0.0006338,0.0006338
71,226.093,0.60336,0.46233,1.13843,0.85244,0.89875,0.92009,0.64771,0.99889,0.83789,1.57919,0.000614,0.000614,0.000614
72,229.259,0.59296,0.4452,1.11421,0.85608,0.9254,0.936,0.68241,0.89103,0.76393,1.52114,0.0005942,0.0005942,0.0005942
73,232.437,0.60264,0.44348,1.12226,0.90982,0.91111,0.92512,0.67826,0.98608,0.67128,1.70042,0.0005744,0.0005744,0.0005744
74,235.599,0.61427,0.46555,1.12229,0.88585,0.88889,0.91077,0.67582,0.95773,0.69601,1.65577,0.0005546,0.0005546,0.0005546
75,238.752,0.61901,0.45215,1.14547,0.86597,0.93333,0.94785,0.69151,0.98631,0.66109,1.6207,0.0005348,0.0005348,0.0005348
76,241.905,0.55648,0.46381,1.09224,0.84697,0.86107,0.91126,0.63972,1.04088,0.7753,1.58847,0.000515,0.000515,0.000515
77,245.094,0.55464,0.43283,1.09674,0.74541,0.88889,0.88557,0.62927,1.08324,0.7844,1.67221,0.0004952,0.0004952,0.0004952
78,248.278,0.53956,0.41196,1.08137,0.83112,0.86667,0.91564,0.63887,1.01534,0.89046,1.62696,0.0004754,0.0004754,0.0004754
79,251.442,0.53418,0.40924,1.10189,0.81274,0.88889,0.9035,0.60681,1.16239,0.81705,1.75854,0.0004556,0.0004556,0.0004556
80,254.684,0.57065,0.4219,1.10963,0.80731,0.9311,0.93083,0.64314,1.14437,0.8032,1.6982,0.0004358,0.0004358,0.0004358
81,257.944,0.5546,0.44479,1.09739,0.95303,0.95556,0.98133,0.64804,1.06886,0.69423,1.66068,0.000416,0.000416,0.000416
82,261.088,0.54679,0.41163,1.0905,0.94953,0.93333,0.97984,0.68361,0.97806,0.6998,1.57302,0.0003962,0.0003962,0.0003962
83,264.246,0.51309,0.40996,1.06435,0.89454,0.95556,0.96871,0.67833,1.071,0.67983,1.65208,0.0003764,0.0003764,0.0003764
84,267.389,0.55499,0.4256,1.09617,0.93416,0.95556,0.9831,0.68579,1.14032,0.67384,1.7623,0.0003566,0.0003566,0.0003566
85,270.559,0.51554,0.4129,1.09225,0.89542,0.95138,0.97265,0.66609,1.10075,0.72638,1.68743,0.0003368,0.0003368,0.0003368
86,273.675,0.50894,0.3849,1.06613,0.90112,0.8,0.92694,0.60971,1.17489,0.87574,1.78313,0.000317,0.000317,0.000317
87,276.831,0.5342,0.42495,1.10181,0.84073,0.82222,0.8758,0.60437,1.13023,0.9587,1.76246,0.0002972,0.0002972,0.0002972
88,279.981,0.56069,0.44223,1.10899,0.73513,0.86351,0.85761,0.59505,1.09815,0.91927,1.72205,0.0002774,0.0002774,0.0002774
89,283.159,0.482,0.37978,1.0573,0.79784,0.78944,0.86538,0.63378,1.06558,0.89641,1.6803,0.0002576,0.0002576,0.0002576
90,286.291,0.49433,0.38169,1.04384,0.79979,0.88773,0.89366,0.63163,1.00288,0.90609,1.60645,0.0002378,0.0002378,0.0002378
91,314.62,0.38008,0.3931,0.97328,0.86671,0.88889,0.90951,0.6392,0.96,0.8815,1.56122,0.000218,0.000218,0.000218
92,317.783,0.38008,0.35351,0.98223,0.88784,0.87967,0.9073,0.60955,1.01724,0.84262,1.66246,0.0001982,0.0001982,0.0001982
93,320.949,0.37813,0.33443,0.99754,0.84711,0.91111,0.90571,0.61119,1.08025,0.88258,1.73914,0.0001784,0.0001784,0.0001784
94,324.144,0.37679,0.32102,0.99245,0.86717,0.86667,0.91934,0.68058,0.95173,0.83714,1.5789,0.0001586,0.0001586,0.0001586
95,327.316,0.3701,0.29786,1.01704,0.80908,0.95556,0.93246,0.70866,0.86566,0.74481,1.47801,0.0001388,0.0001388,0.0001388
96,330.499,0.33723,0.28656,0.9518,0.83988,0.91111,0.93502,0.70653,0.84005,0.71932,1.43665,0.000119,0.000119,0.000119
97,333.629,0.3508,0.28385,0.9489,0.83532,0.93333,0.93925,0.68825,0.83605,0.72699,1.4364,9.92e-05,9.92e-05,9.92e-05
98,336.766,0.33616,0.27277,0.95931,0.87419,0.92661,0.95478,0.68359,0.84628,0.72786,1.45208,7.94e-05,7.94e-05,7.94e-05
99,339.899,0.3339,0.2846,0.95623,0.87486,0.93219,0.95168,0.69076,0.86236,0.72669,1.4777,5.96e-05,5.96e-05,5.96e-05
100,343.019,0.33674,0.26335,0.96246,0.87389,0.92403,0.95056,0.68866,0.86699,0.7179,1.48388,3.98e-05,3.98e-05,3.98e-05
